TRAINING DATASET	HUMAN ENTREZ	MOUSE ENTREZ	MAPPING	SYM	SYNONYMS	DESCRIPTION	TARGETP	YEASTMITOHOMOLOG	RICKETTSIA_BLASTP_EXPECT	MITODOMAIN	PGC_INDUCTION	COEXPRESSION_GNF_N50	PROTEOMICS	MAESTRO_SCORE	MITOCARTA_cFDR	MITOCARTA_LIST	MCARTA_TYPE	NUM_MSMS_TISSUES	CHOMOSOME	START	STOP	PFAM_DOMAINS
Tmito	34	11364	HomoloGene	ACADM	ACAD1|MCAD|MCADH	"acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain"	2			1	3	34	50-75pure	29	0%	1	known	14	1	75962869	76001770	Acyl-CoA_dh_1 | Acyl-CoA_dh_N | Acyl-CoA_dh_M | Acyl-CoA_dh_2
Tmito	37	11370	HomoloGene	ACADVL	ACAD6|LCACD|VLCAD	"acyl-Coenzyme A dehydrogenase, very long chain"	1			1	0	38	75-100pure	30	0%	1	known	14	17	7063876	7069308	Acyl-CoA_dh_1 | Acyl-CoA_dh_N | Acyl-CoA_dh_M | Acyl-CoA_dh_2
Tmito	50	11429	HomoloGene	ACO2	ACONM|MGC20605|MGC33908	"aconitase 2, mitochondrial"	2	1	8.60E-57	1	3	38	50-75pure	38	0%	1	known	14	22	40195074	40254938	Aconitase_C | Aconitase
Tmito	8165	11640	HomoloGene	AKAP1	AKAP|AKAP121|AKAP149|AKAP84|D-AKAP1|MGC1807|PRKA1|SAKAP84	A kinase (PRKA) anchor protein 1	0			0	3		25-50pure	7	5%	1	known	4	17	52517619	52553607	TUDOR | KH_1
Tmito	212	11656	HomoloGene	ALAS2	ANH1|ASB|XLSA	"aminolevulinate, delta-, synthase 2 (sideroblastic/hypochromic anemia)"	5	1	2.00E-100	1	0	2		9	3%	1	known		X	55052212	55074135	Preseq_ALAS | Aminotran_1_2 | Aminotran_5
Tmito	217	11669	HomoloGene	ALDH2	ALDH-E2|ALDHI|ALDM|MGC1806	aldehyde dehydrogenase 2 family (mitochondrial)	2	1		0	0	5	75-100pure	19	0%	1	known	14	12	110688728	110732166	Aldedh
Tmito	291	11739	HomoloGene	SLC25A4	ANT|ANT1|PEO2|PEO3|T1	"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4"	0	1		1	3	2	75-100pure	19	0%	1	known	14	4	186301391	186305418	Mito_carr
Tmito	10935	11757	HomoloGene	PRDX3	AOP-1|AOP1|MER5|MGC104387|MGC24293|PRO1748|SP-22	peroxiredoxin 3	1		5.80E-48	1	3	9	50-75pure	30	0%	1	known	14	10	120917204	120928334	AhpC-TSA | Redoxin
Tmito	506	11947	HomoloGene	ATP5B	ATPMB|ATPSB|MGC5231	"ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide"	1	1	0	0		39	75-100pure	33	0%	1	known	14	12	55318225	55326118	ATP-synt_ab | ATP-synt_ab_N | ATP-synt_ab_C
Tmito	509	11949	HomoloGene	ATP5C1	ATP5C|ATP5CL1	"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1"	5	1	4.10E-32	1	3	37	50-75pure	33	0%	1	known	14	10	7870098	7889769	ATP-synt
Tmito	515	11950	HomoloGene	ATP5F1	MGC24431|PIG47	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1"	0	1		1			75-100pure	16	0%	1	known	14	1	111793265	111806062	Mt_ATP-synt_B
Tmito	522	11957	HomoloGene	ATP5J	ATP5|ATP5A|ATPM|CF6|F6	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6"	2			-2	2	34	75-100pure	23	0%	1	known	14	21	26018661	26029835	ATP-synt_F6
Tmito	549	11992	HomoloGene	AUH	-	AU RNA binding protein/enoyl-Coenzyme A hydratase	2			0	2		50-75pure	14	3%	1	known	14	9	93015925	93163995	ECH
Tmito	572	12015	HomoloGene	BAD	BBC2|BCL2L8	BCL2-antagonist of cell death	0			-2	0	1		-7	85%	1	known		11	63793877	63808739	
